Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.45375,4:25:48 PM,6,11,4,0,0
0.455,4:25:48 PM,6,3,1,0,0
0.45625,4:25:48 PM,7,10,0,0,0
0.4575,4:25:48 PM,5,9,1,0,0
0.45875,4:25:48 PM,12,6,2,0,0
0.46,4:25:48 PM,7,11,0,0,0
0.46125,4:25:48 PM,7,10,0,0,0
0.4625,4:25:48 PM,7,8,2,0,0
0.46375,4:25:48 PM,3,6,3,0,0
0.465,4:25:48 PM,4,9,0,0,0
0.46625,4:25:48 PM,8,11,1,0,0
0.4675,4:25:48 PM,6,9,0,0,0
0.46875,4:25:48 PM,2,9,0,0,0
0.47000000000000003,4:25:48 PM,4,6,1,0,0
0.47125,4:25:48 PM,5,9,3,0,0
0.47250000000000003,4:25:48 PM,7,9,1,0,0
0.47375,4:25:48 PM,6,14,1,0,0
0.47500000000000003,4:25:48 PM,8,8,1,0,0
0.47625,4:25:48 PM,5,7,1,0,0
0.47750000000000004,4:25:48 PM,4,12,1,0,0
0.47875,4:25:48 PM,7,7,0,0,0
0.48,4:25:48 PM,3,8,1,0,0
0.48125,4:25:48 PM,3,14,0,0,0
0.4825,4:25:48 PM,6,7,5,0,0
0.48375,4:25:48 PM,4,10,1,0,0
0.485,4:25:48 PM,7,9,3,0,0
0.48625,4:25:48 PM,7,11,2,0,0
0.4875,4:25:48 PM,4,11,2,0,0
0.48875,4:25:48 PM,5,7,3,0,0
0.49,4:25:48 PM,3,9,0,0,0
0.49125,4:25:48 PM,8,9,2,0,0
0.4925,4:25:48 PM,7,5,0,0,0
0.49375,4:25:48 PM,3,12,2,0,0
0.495,4:25:48 PM,3,12,2,0,0
0.49625,4:25:48 PM,2,6,0,0,0
0.4975,4:25:48 PM,11,8,1,0,0
0.49875,4:25:48 PM,6,15,2,0,0
0.5,4:25:48 PM,7,8,0,0,0
0.50125,4:25:48 PM,6,8,1,0,0
0.5025000000000001,4:25:48 PM,4,16,3,0,0
0.50375,4:25:48 PM,6,11,1,0,0
0.505,4:25:48 PM,7,12,0,0,0
0.50625,4:25:48 PM,6,10,2,0,0
0.5075000000000001,4:25:48 PM,3,6,1,0,0
0.50875,4:25:48 PM,7,11,0,0,0
0.51,4:25:48 PM,9,11,1,0,0
0.51125,4:25:48 PM,4,15,0,0,0
0.5125,4:25:48 PM,6,10,1,0,0
0.51375,4:25:48 PM,8,7,2,0,0
0.515,4:25:48 PM,2,6,3,0,0
0.51625,4:25:48 PM,7,11,3,0,0
0.5175,4:25:48 PM,6,10,0,0,0
0.51875,4:25:48 PM,6,15,3,0,0
0.52,4:25:48 PM,6,10,3,0,0
0.52125,4:25:48 PM,8,8,0,0,0
0.5225,4:25:48 PM,2,12,1,0,0
0.52375,4:25:48 PM,10,11,2,0,0
0.525,4:25:48 PM,6,7,2,0,0
