Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.34750000000000003,10:39:54 AM,8,6,48,0,0
0.34875,10:39:54 AM,3,7,42,0,0
0.35000000000000003,10:39:54 AM,3,12,48,0,0
0.35125,10:39:54 AM,3,10,44,0,0
0.3525,10:39:54 AM,2,8,51,0,0
0.35375,10:39:54 AM,4,7,58,0,0
0.355,10:39:54 AM,1,6,49,0,0
0.35625,10:39:54 AM,4,2,47,0,0
0.3575,10:39:54 AM,4,1,44,0,0
0.35875,10:39:54 AM,2,5,55,0,0
0.36,10:39:54 AM,3,4,53,0,0
0.36125,10:39:54 AM,1,5,46,0,0
0.3625,10:39:54 AM,5,13,45,0,0
0.36375,10:39:54 AM,4,8,43,0,0
0.365,10:39:54 AM,3,6,48,0,0
0.36625,10:39:54 AM,3,7,48,0,0
0.3675,10:39:54 AM,3,11,33,0,0
0.36875,10:39:54 AM,7,11,57,0,0
0.37,10:39:54 AM,2,8,52,0,0
0.37125,10:39:54 AM,2,6,49,0,0
0.3725,10:39:54 AM,2,5,46,0,0
0.37375,10:39:54 AM,0,6,43,0,0
0.375,10:39:54 AM,1,9,54,0,0
0.37625000000000003,10:39:54 AM,3,10,42,0,0
0.3775,10:39:54 AM,6,11,49,0,0
0.37875000000000003,10:39:54 AM,2,7,53,0,0
0.38,10:39:54 AM,4,6,50,0,0
0.38125000000000003,10:39:54 AM,3,9,54,0,0
0.3825,10:39:54 AM,2,8,50,0,0
0.38375000000000004,10:39:54 AM,3,9,49,0,0
0.385,10:39:54 AM,2,8,52,0,0
0.38625,10:39:54 AM,5,5,50,0,0
0.3875,10:39:54 AM,3,5,49,0,0
0.38875,10:39:54 AM,2,6,39,0,0
0.39,10:39:54 AM,2,8,60,0,0
0.39125,10:39:54 AM,3,2,45,0,0
0.3925,10:39:54 AM,6,8,56,0,0
0.39375,10:39:54 AM,5,10,56,0,0
0.395,10:39:54 AM,6,9,40,0,0
0.39625,10:39:54 AM,2,4,55,0,0
0.3975,10:39:54 AM,1,10,55,0,0
0.39875,10:39:54 AM,2,4,42,0,0
0.4,10:39:54 AM,4,8,55,0,0
0.40125,10:39:54 AM,2,4,58,0,0
0.4025,10:39:54 AM,3,6,51,0,0
0.40375,10:39:54 AM,4,9,34,0,0
0.405,10:39:54 AM,2,6,68,0,0
0.40625,10:39:54 AM,7,9,34,0,0
0.40750000000000003,10:39:54 AM,3,7,43,0,0
0.40875,10:39:54 AM,2,6,45,0,0
0.41000000000000003,10:39:54 AM,6,6,42,0,0
0.41125,10:39:54 AM,5,7,51,0,0
0.41250000000000003,10:39:54 AM,1,9,42,0,0
0.41375,10:39:54 AM,6,11,43,0,0
0.41500000000000004,10:39:54 AM,2,11,51,0,0
0.41625,10:39:54 AM,2,7,45,0,0
0.4175,10:39:54 AM,8,5,46,0,0
0.41875,10:39:54 AM,4,5,38,0,0
0.42,10:39:54 AM,6,12,47,0,0
0.42125,10:39:54 AM,4,10,45,0,0
0.4225,10:39:54 AM,3,6,54,0,0
0.42375,10:39:54 AM,3,12,47,0,0
0.425,10:39:54 AM,2,10,50,0,0
0.42625,10:39:54 AM,2,6,47,0,0
0.4275,10:39:54 AM,2,10,59,0,0
0.42875,10:39:54 AM,1,5,44,0,0
0.43,10:39:54 AM,0,6,55,0,0
0.43125,10:39:54 AM,1,5,39,0,0
0.4325,10:39:54 AM,4,6,49,0,0
0.43375,10:39:54 AM,3,5,48,0,0
0.435,10:39:54 AM,4,5,50,0,0
0.43625,10:39:54 AM,2,7,53,0,0
0.4375,10:39:54 AM,3,5,46,0,0
0.43875000000000003,10:39:54 AM,4,5,54,0,0
0.44,10:39:54 AM,4,6,32,0,0
0.44125000000000003,10:39:54 AM,1,3,51,0,0
0.4425,10:39:54 AM,2,3,44,0,0
0.44375000000000003,10:39:54 AM,3,15,46,0,0
0.445,10:39:54 AM,2,6,39,0,0
0.44625000000000004,10:39:54 AM,4,8,41,0,0
0.4475,10:39:54 AM,5,11,45,0,0
0.44875,10:39:54 AM,5,11,43,0,0
0.45,10:39:54 AM,2,5,52,0,0
0.45125,10:39:54 AM,2,8,63,0,0
0.4525,10:39:54 AM,3,8,52,0,0
0.45375,10:39:54 AM,1,7,55,0,0
0.455,10:39:54 AM,0,6,51,0,0
0.45625,10:39:54 AM,2,8,46,0,0
0.4575,10:39:54 AM,2,4,42,0,0
0.45875,10:39:54 AM,5,8,56,0,0
0.46,10:39:54 AM,4,9,42,0,0
0.46125,10:39:54 AM,3,7,56,0,0
0.4625,10:39:54 AM,1,9,54,0,0
0.46375,10:39:54 AM,7,13,43,0,0
0.465,10:39:54 AM,1,3,47,0,0
0.46625,10:39:54 AM,1,6,63,0,0
0.4675,10:39:54 AM,2,4,47,0,0
0.46875,10:39:54 AM,2,12,46,0,0
0.47000000000000003,10:39:54 AM,2,6,39,0,0
0.47125,10:39:54 AM,3,8,52,0,0
0.47250000000000003,10:39:54 AM,6,8,56,0,0
0.47375,10:39:54 AM,1,5,52,0,0
0.47500000000000003,10:39:54 AM,3,6,48,0,0
0.47625,10:39:54 AM,1,6,49,0,0
0.47750000000000004,10:39:54 AM,3,6,46,0,0
0.47875,10:39:54 AM,5,4,41,0,0
0.48,10:39:54 AM,2,9,55,0,0
0.48125,10:39:54 AM,1,13,53,0,0
0.4825,10:39:54 AM,4,7,52,0,0
0.48375,10:39:54 AM,4,4,42,0,0
0.485,10:39:54 AM,5,7,58,0,0
0.48625,10:39:54 AM,4,11,54,0,0
0.4875,10:39:54 AM,3,6,54,0,0
0.48875,10:39:54 AM,2,6,44,0,0
0.49,10:39:54 AM,4,6,59,0,0
0.49125,10:39:54 AM,5,8,47,0,0
0.4925,10:39:54 AM,2,10,43,0,0
0.49375,10:39:54 AM,5,7,41,0,0
0.495,10:39:54 AM,3,3,39,0,0
0.49625,10:39:54 AM,2,8,38,0,0
0.4975,10:39:54 AM,2,9,45,0,0
0.49875,10:39:54 AM,3,7,49,0,0
0.5,10:39:54 AM,4,5,45,0,0
0.50125,10:39:54 AM,3,9,49,0,0
0.5025000000000001,10:39:54 AM,1,6,46,0,0
0.50375,10:39:54 AM,2,4,52,0,0
0.505,10:39:54 AM,2,15,55,0,0
0.50625,10:39:54 AM,1,14,52,0,0
0.5075000000000001,10:39:54 AM,5,7,51,0,0
0.50875,10:39:54 AM,4,10,43,0,0
0.51,10:39:54 AM,0,5,47,0,0
0.51125,10:39:54 AM,6,16,41,0,0
0.5125,10:39:54 AM,2,7,51,0,0
0.51375,10:39:54 AM,4,3,52,0,0
0.515,10:39:54 AM,3,5,50,0,0
0.51625,10:39:54 AM,9,7,62,0,0
0.5175,10:39:54 AM,3,12,43,0,1
0.51875,10:39:54 AM,2,6,32,0,0
0.52,10:39:54 AM,3,7,48,0,0
0.52125,10:39:54 AM,2,10,41,0,0
0.5225,10:39:54 AM,4,4,52,0,0
0.52375,10:39:54 AM,6,7,49,0,0
0.525,10:39:54 AM,2,7,47,0,0
0.52625,10:39:54 AM,3,5,43,0,0
0.5275,10:39:54 AM,3,5,42,0,0
0.52875,10:39:54 AM,3,5,51,0,0
0.53,10:39:54 AM,1,10,44,0,0
0.53125,10:39:54 AM,7,4,58,0,0
0.5325,10:39:54 AM,4,10,58,0,0
0.5337500000000001,10:39:54 AM,3,6,54,0,0
0.535,10:39:54 AM,2,8,50,0,0
0.53625,10:39:54 AM,2,8,37,0,0
0.5375,10:39:54 AM,3,8,59,0,1
0.5387500000000001,10:39:54 AM,2,8,63,0,0
0.54,10:39:54 AM,4,2,56,0,0
0.54125,10:39:54 AM,6,7,44,0,0
0.5425,10:39:54 AM,2,6,42,0,0
0.5437500000000001,10:39:54 AM,2,8,53,0,0
0.545,10:39:54 AM,3,6,47,0,0
0.54625,10:39:54 AM,6,8,53,0,0
0.5475,10:39:54 AM,3,7,53,0,0
0.54875,10:39:54 AM,1,4,42,0,0
0.55,10:39:54 AM,2,6,41,0,0
0.55125,10:39:54 AM,4,6,62,0,0
0.5525,10:39:54 AM,1,5,47,0,0
0.55375,10:39:54 AM,2,6,48,0,0
0.555,10:39:54 AM,3,4,54,0,0
0.55625,10:39:54 AM,3,5,42,0,0
0.5575,10:39:54 AM,2,7,49,0,0
0.55875,10:39:54 AM,4,8,50,0,0
0.56,10:39:54 AM,1,10,48,0,0
0.56125,10:39:54 AM,7,10,52,0,0
0.5625,10:39:54 AM,3,6,50,0,0
0.56375,10:39:54 AM,3,6,40,0,0
0.5650000000000001,10:39:54 AM,1,7,44,0,0
0.56625,10:39:54 AM,3,8,46,0,0
0.5675,10:39:54 AM,2,10,47,0,0
0.56875,10:39:54 AM,6,9,54,0,0
0.5700000000000001,10:39:54 AM,3,5,49,0,0
0.57125,10:39:54 AM,4,7,49,0,0
0.5725,10:39:54 AM,2,6,57,0,0
0.57375,10:39:54 AM,6,8,57,0,0
0.5750000000000001,10:39:54 AM,5,4,46,0,0
0.57625,10:39:54 AM,1,7,44,0,0
0.5775,10:39:54 AM,2,11,43,0,0
0.57875,10:39:54 AM,3,7,48,0,0
0.58,10:39:54 AM,3,9,37,0,0
0.58125,10:39:54 AM,5,6,49,0,0
0.5825,10:39:54 AM,3,7,45,0,0
0.58375,10:39:54 AM,2,10,46,0,0
0.585,10:39:54 AM,4,6,36,0,0
0.58625,10:39:54 AM,1,8,58,0,0
0.5875,10:39:54 AM,1,5,48,0,0
0.58875,10:39:54 AM,2,9,45,0,0
0.59,10:39:54 AM,3,7,47,0,0
0.59125,10:39:54 AM,5,10,36,0,0
0.5925,10:39:54 AM,3,5,36,0,0
0.59375,10:39:54 AM,2,3,49,0,0
0.595,10:39:54 AM,2,7,48,0,0
0.5962500000000001,10:39:54 AM,0,4,36,0,0
0.5975,10:39:54 AM,7,3,47,0,0
0.59875,10:39:54 AM,1,8,37,0,0
